# filename:lineno [module]function flags format
init/main.c:775 [main]initcall_blacklisted =p "initcall %s blacklisted\012"
init/main.c:744 [main]initcall_blacklist =p "blacklisting initcall %s\012"
arch/x86/kernel/cpu/mtrr/main.c:503 [main]mtrr_del_page =p "mtrr: no MTRR for %lx000,%lx000 found\012"
arch/x86/kernel/cpu/mtrr/main.c:411 [main]mtrr_check =p "mtrr: size: 0x%lx  base: 0x%lx\012"
arch/x86/kernel/cpu/mtrr/generic.c:444 [generic]print_mtrr_state =p "TOM2: %016llx aka %lldM\012"
arch/x86/kernel/cpu/mtrr/generic.c:441 [generic]print_mtrr_state =p "  %u disabled\012"
arch/x86/kernel/cpu/mtrr/generic.c:439 [generic]print_mtrr_state =p "  %u base %0*X%05X000 mask %0*X%05X000 %s\012"
arch/x86/kernel/cpu/mtrr/generic.c:426 [generic]print_mtrr_state =p "MTRR variable ranges %sabled:\012"
arch/x86/kernel/cpu/mtrr/generic.c:413 [generic]print_mtrr_state =p "MTRR fixed ranges %sabled:\012"
arch/x86/kernel/cpu/mtrr/generic.c:408 [generic]print_mtrr_state =p "MTRR default type: %s\012"
arch/x86/kernel/cpu/mtrr/generic.c:366 [generic]print_fixed_last =p "  %05X-%05X %s\012"
kernel/power/snapshot.c:1871 [snapshot]enough_free_mem =p "PM: Normal pages needed: %u + %u, available pages: %u\012"
kernel/power/snapshot.c:1134 [snapshot]free_basic_memory_bitmaps =p "PM: Basic memory bitmaps freed\012"
kernel/power/snapshot.c:1098 [snapshot]create_basic_memory_bitmaps =p "PM: Basic memory bitmaps created\012"
kernel/power/snapshot.c:1045 [snapshot]mark_nosave_pages =p "PM: Marking nosave pages: [mem %#010llx-%#010llx]\012"
kernel/power/swap.c:1573 [swap]swsusp_close =p "PM: Image device not initialised\012"
kernel/power/swap.c:1561 [swap]swsusp_check =p "PM: Image not found (code %d)\012"
kernel/power/swap.c:1555 [swap]swsusp_check =p "PM: Image signature found, resuming\012"
kernel/power/swap.c:1518 [swap]swsusp_read =p "PM: Error %d resuming\012"
kernel/power/swap.c:1516 [swap]swsusp_read =p "PM: Image successfully loaded\012"
kernel/power/swap.c:891 [swap]enough_swap =p "PM: Free swap pages: %u\012"
