# filename:lineno [module]function flags format
init/main.c:775 [main]initcall_blacklisted =p "initcall %s blacklisted\012"
init/main.c:744 [main]initcall_blacklist =p "blacklisting initcall %s\012"
init/initramfs.c:484 [initramfs]unpack_to_rootfs =_ "Detected %s compressed data\012"
arch/x86/events/amd/ibs.c:881 [ibs]force_ibs_eilvt_setup =_ "No EILVT entry available\012"
arch/x86/events/amd/ibs.c:852 [ibs]setup_ibs_ctl =_ "No CPU node configured for IBS\012"
arch/x86/events/amd/ibs.c:846 [ibs]setup_ibs_ctl =_ "Failed to setup IBS LVT offset, IBSCTL = 0x%08x\012"
arch/x86/events/intel/pt.c:727 [pt]pt_topa_dump =_ "# entry @%p (%lx sz %u %c%c%c) raw=%16llx\012"
arch/x86/events/intel/pt.c:718 [pt]pt_topa_dump =_ "# table @%p (%016Lx), off %llx size %zx\012"
arch/x86/kernel/tboot.c:98 [tboot]tboot_probe =_ "tboot_size: 0x%x\012"
arch/x86/kernel/tboot.c:97 [tboot]tboot_probe =_ "tboot_base: 0x%08x\012"
arch/x86/kernel/tboot.c:96 [tboot]tboot_probe =_ "shutdown_entry: 0x%x\012"
arch/x86/kernel/tboot.c:95 [tboot]tboot_probe =_ "log_addr: 0x%08x\012"
arch/x86/kernel/tboot.c:94 [tboot]tboot_probe =_ "version: %d\012"
arch/x86/kernel/cpu/common.c:1521 [common]cpu_init =_ "Initializing CPU#%d\012"
arch/x86/kernel/cpu/amd.c:509 [amd]bsp_init_amd =_ "tseg: %010llx\012"
arch/x86/kernel/cpu/mcheck/therm_throt.c:457 [therm_throt]intel_init_thermal =_ "CPU%d: Thermal monitoring handled by SMI\012"
arch/x86/kernel/cpu/mtrr/main.c:503 [main]mtrr_del_page =p "mtrr: no MTRR for %lx000,%lx000 found\012"
arch/x86/kernel/cpu/mtrr/main.c:411 [main]mtrr_check =p "mtrr: size: 0x%lx  base: 0x%lx\012"
arch/x86/kernel/cpu/mtrr/generic.c:444 [generic]print_mtrr_state =p "TOM2: %016llx aka %lldM\012"
arch/x86/kernel/cpu/mtrr/generic.c:441 [generic]print_mtrr_state =p "  %u disabled\012"
arch/x86/kernel/cpu/mtrr/generic.c:439 [generic]print_mtrr_state =p "  %u base %0*X%05X000 mask %0*X%05X000 %s\012"
arch/x86/kernel/cpu/mtrr/generic.c:426 [generic]print_mtrr_state =p "MTRR variable ranges %sabled:\012"
arch/x86/kernel/cpu/mtrr/generic.c:413 [generic]print_mtrr_state =p "MTRR fixed ranges %sabled:\012"
arch/x86/kernel/cpu/mtrr/generic.c:408 [generic]print_mtrr_state =p "MTRR default type: %s\012"
arch/x86/kernel/cpu/mtrr/generic.c:366 [generic]print_fixed_last =p "  %05X-%05X %s\012"
arch/x86/kernel/cpu/mtrr/cleanup.c:131 [cleanup]x86_get_mtrr_mem_range =_ "MTRR MAP PFN: %016llx - %016llx\012"
arch/x86/kernel/cpu/mtrr/cleanup.c:128 [cleanup]x86_get_mtrr_mem_range =_ "After sorting\012"
arch/x86/kernel/cpu/mtrr/cleanup.c:121 [cleanup]x86_get_mtrr_mem_range =_ "MTRR MAP PFN: %016llx - %016llx\012"
