NIS,Nº de ruedas,Ratio de pérdida,Año de consolidación,Último análisis
824252702,10,"0,616",2012,31/01/2014
797910403,4,"0,831",2000,15/01/2014
701290903,7,"0,580",2012,26/01/2014
735401403,8,"0,150",1997,09/01/2014
822756202,8,"0,777",2010,19/01/2014
816099201,7,"0,232",1997,20/01/2014
423450704,8,"0,782",2013,24/01/2014
816100302,5,"0,414",2002,03/01/2014
821164402,3,"0,175",2005,20/01/2014
818799202,8,"0,057",1997,09/01/2014
823399301,3,"0,074",2014,22/01/2014
808110802,6,"0,272",2001,24/01/2014
771766903,1,"0,340",1997,04/01/2014
806955402,8,"0,554",2009,05/01/2014
433488003,4,"0,789",2003,12/01/2014
823587902,9,"0,768",2001,05/01/2014
796901403,1,"0,513",2012,11/01/2014
824276002,8,"0,373",2004,14/01/2014
823204202,3,"0,382",2012,29/01/2014
824731302,2,"0,224",2003,24/01/2014
815406102,1,"0,654",2008,16/01/2014
816596102,1,"0,501",2013,27/01/2014
413505803,7,"0,955",1995,17/01/2014
413076205,1,"0,237",1999,27/01/2014
740191202,3,"0,754",2007,22/01/2014
889988701,1,"0,071",2012,13/01/2014
459382603,10,"0,420",2011,01/01/2014
824555902,7,"0,344",1997,30/01/2014
445766303,4,"0,287",2003,07/01/2014
855116602,2,"0,319",2004,12/01/2014
466071504,1,"0,297",2006,25/01/2014
822746902,6,"0,264",2008,02/01/2014
823372002,9,"0,922",2002,02/01/2014
824146302,6,"0,283",2007,10/01/2014
823894502,6,"0,811",2006,08/01/2014
823831202,8,"0,827",2007,21/01/2014
437671403,2,"0,037",1995,26/01/2014
821659402,9,"0,931",2004,12/01/2014
798614102,5,"0,526",2009,02/01/2014
833355902,10,"0,585",2002,11/01/2014
822717202,3,"0,556",2003,10/01/2014
821679302,4,"0,557",2008,11/01/2014
823455905,10,"0,850",1996,22/01/2014
824443002,3,"0,416",2012,09/01/2014
457562205,3,"0,094",2013,17/01/2014
815812602,5,"0,176",2008,08/01/2014
821011002,3,"0,969",2008,09/01/2014
844219504,1,"0,108",2012,04/01/2014
865850302,10,"0,766",2009,30/01/2014
824628102,7,"0,398",2004,16/01/2014
710443004,2,"0,841",2005,26/01/2014
462629203,6,"0,003",2007,14/01/2014
819057902,1,"0,092",2001,13/01/2014
743738403,8,"0,182",1997,15/01/2014
824601002,1,"0,893",2009,21/01/2014
822468702,7,"0,157",2009,02/01/2014
421305702,6,"0,172",2007,11/01/2014
783043403,10,"0,801",1996,13/01/2014
824186402,4,"0,288",2009,25/01/2014
806911002,8,"0,952",2008,22/01/2014
881836501,4,"0,081",1998,16/01/2014
821984502,6,"0,795",2011,09/01/2014
823646702,3,"0,511",2009,13/01/2014
724770603,2,"0,564",1998,24/01/2014
824411802,2,"0,375",2010,12/01/2014
823739502,1,"0,865",2003,23/01/2014
854560503,9,"0,970",2012,30/01/2014
447938603,10,"0,659",1995,06/01/2014
823313402,7,"0,312",2012,29/01/2014
823291802,2,"0,562",2011,18/01/2014
729710503,9,"0,945",2013,15/01/2014
822260802,6,"0,671",2008,31/01/2014
760465403,9,"0,393",1998,18/01/2014
476756803,4,"0,125",2003,29/01/2014
797451002,3,"0,267",2003,31/01/2014
743450506,3,"0,129",2003,02/01/2014
433986404,7,"0,706",2003,13/01/2014
441976903,1,"0,582",2001,01/01/2014
823530802,3,"0,828",2011,15/01/2014
473839903,6,"0,732",1999,23/01/2014
740558101,3,"0,358",1998,14/01/2014
